,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,best_strategy
BC,0.11674768396432414,0.5722535260371278,1.3461792274061553,0.501286487445657,0.498713512554343,0.00022342699658532925,0.0006316016347328001,0.00020183102336404952,0.9955917713064387,EPO
BFS,0.11654282588725384,0.5713874525922371,1.3443384612656346,0.5009782995375311,0.49902170046246885,0.0002239606944690772,0.000628173279290302,0.00020100686850337677,0.9950721420643729,Packed
BT,0.6664288413703899,0.05168287486625132,1.0147242444509035,0.4976200190398477,0.5023799809601524,0.0015701712239777658,6.666435733932348e-05,7.340266839114189e-06,0.9991536182818451,Packed
CC,0.11497600560161131,0.5718433615358006,1.3439610656959688,0.4999123882950762,0.5000876117049238,0.00023002853620061013,0.0006467591328164582,0.00020945717688023647,0.9953053742287401,EPO
CG,0.5241946354739808,0.017664787608767333,1.0063584538202253,0.4986916402699353,0.5013083597300647,0.022236397978357785,0.002641909932611533,1.9024736362573903e-05,0.9971908305277378,Packed
FT,0.7214617356753341,0.028390785110866512,1.0554227794413409,0.5002034506512023,0.4997965493487977,0.014846948653019583,0.0005892357313770681,0.0011499123195003352,0.563712734264701,Packed
IS,0.2515205460856985,0.05147303903400687,1.0544985170991719,0.5013576106053346,0.4986423893946654,0.0029873493270849666,0.0014184155932445233,0.00011536223261978879,0.9987135285339371,Packed
MG,0.39746211015936966,0.06599929153840069,1.1164143745195585,0.4994326062287227,0.5005673937712772,0.0055161401622287115,0.0002800698106402563,0.00012705105921111207,0.9973633998265394,Packed
PR,0.11671128798174638,0.5752783545503528,1.3485593335948831,0.5039118065433855,0.49608819345661453,0.00023038430359206973,0.0006453047376470157,0.0002074417744799552,0.9959414860404959,EPO
SP,0.5561807396888054,0.17968274055319297,0.9306294557298909,0.500690798563139,0.499309201436861,0.005025077698619161,0.00023403775775717692,1.3299144964015e-05,0.9993509865005192,Packed
SSSP,0.15826289912317787,0.3852735017430729,1.2331175358600912,0.500163692912097,0.4998363070879031,0.00020625497619167145,0.0004272913552414182,0.00014937897445820044,0.9946034463508132,EPO
TC,0.11790113774759384,0.5656663254792018,1.3402889360039663,0.501231310466139,0.49876868953386105,0.0002314627340315233,0.000620821294034314,0.00020092619376533972,0.9953455383660623,EPO
lavaMD,0.255492905346682,0.0,1.0,0.500996015936255,0.499003984063745,0.004610178797355041,3.580721396003915e-05,0.017975221407939654,1.0,Packed
